SKU;Название товара;Категория;Цена, RUB;URL изображения 1;URL изображения 2;Описание
TST032;Термос стальной 0.5л;Посуда;990.00;http://test-images.com/img/tst032.jpg;;Сохраняет тепло до 12 часов.
TST033;Шорты спортивные (XL);Одежда;1150.00;http://test-images.com/img/tst033.jpg;;Дышащий материал, размер XL.
TST034;Набор кистей для макияжа;Красота;1600.00;http://test-images.com/img/tst034.jpg;;10 профессиональных кистей в чехле.
TST035;Портативная колонка Mini;Электроника;1800.00;http://test-images.com/img/tst035.jpg;http://test-images.com/img/tst035_b.jpg;Влагозащита IPX5, мощный звук.
TST036;Бутылка для воды 750мл;Спорт;499.00;http://test-images.com/img/tst036.jpg;;Экологичный пластик, с ручкой.
TST037;Держатель для телефона в авто;Аксессуары;590.00;http://test-images.com/img/tst037.jpg;;На присоске, вращение 360 градусов.
TST038;Календарь-планер 2026;Канцтовары;450.00;http://test-images.com/img/tst038.jpg;;Настольный, на пружине.
TST039;Салфетки микрофибра (5 шт.);Дом;399.00;http://test-images.com/img/tst039.jpg;;Для уборки без разводов.
TST040;Сыр твердый Пармезан;Продукты;650.00;http://test-images.com/img/tst040.jpg;;200 гр., вакуумная упаковка.
TST041;Смарт-часы "Тайм";Электроника;4990.00;http://test-images.com/img/tst041.jpg;http://test-images.com/img/tst041_b.jpg;Мониторинг сна и активности.
TST042;Сковорода антипригарная;Посуда;1650.00;http://test-images.com/img/tst042.jpg;;Диаметр 24 см, подходит для индукции.
TST043;Худи с капюшоном (M);Одежда;2400.00;http://test-images.com/img/tst043.jpg;;Теплый и мягкий материал.
TST044;Пазл 1000 элементов;Игры;799.00;http://test-images.com/img/tst044.jpg;;Пейзаж "Горное озеро".
TST045;Набор отверток универсальный;Инструменты;950.00;http://test-images.com/img/tst045.jpg;;12 насадок в комплекте.
TST046;Эспандер для рук;Спорт;350.00;http://test-images.com/img/tst046.jpg;;Регулируемое сопротивление.
TST047;Подставка для ноутбука;Аксессуары;890.00;http://test-images.com/img/tst047.jpg;;Регулировка угла наклона.
TST048;Ручка гелевая (набор 5 шт.);Канцтовары;110.00;http://test-images.com/img/tst048.jpg;;Синие чернила, тонкий стержень.
TST049;Комплект постельного белья;Текстиль;3200.00;http://test-images.com/img/tst049.jpg;;Двуспальный, сатин.
TST050;Масло оливковое Extra Virgin;Продукты;750.00;http://test-images.com/img/tst050.jpg;;Объем 500 мл.
TST051;Внешний SSD 500 ГБ;Электроника;4500.00;http://test-images.com/img/tst051.jpg;;Высокая скорость передачи данных.
TST052;Форма для выпечки силиконовая;Посуда;490.00;http://test-images.com/img/tst052.jpg;;Для кексов, 12 ячеек.
TST053;Купальник раздельный (S);Одежда;1850.00;http://test-images.com/img/tst053.jpg;;Быстросохнущий материал.
TST054;Книга "Искусство продаж";Книги;499.00;http://test-images.com/img/tst054.jpg;;Бизнес-литература, твердый переплет.
TST055;Термометр электронный;Медицина;590.00;http://test-images.com/img/tst055.jpg;;Быстрое и точное измерение.
TST056;Скакалка со счетчиком;Спорт;690.00;http://test-images.com/img/tst056.jpg;;Регулируемая длина троса.
TST057;Сетевой фильтр 5 розеток;Электроника;750.00;http://test-images.com/img/tst057.jpg;;Длина шнура 1.8 м.
TST058;Стикеры самоклеящиеся;Канцтовары;90.00;http://test-images.com/img/tst058.jpg;;Неоновые цвета, 500 листов.
TST059;Занавески блэкаут (пара);Дом;2900.00;http://test-images.com/img/tst059.jpg;;Размер 150х270 см.
TST060;Шоколад горький 90%;Продукты;150.00;http://test-images.com/img/tst060.jpg;;Без сахара, 100 гр.
TST061;Web-камера HD;Электроника;1250.00;http://test-images.com/img/tst061.jpg;;Разрешение 1080p, встроенный микрофон.
TST062;Салатник стеклянный;Посуда;399.00;http://test-images.com/img/tst062.jpg;;Диаметр 20 см.
TST063;Носки термо (набор 3 пары);Одежда;850.00;http://test-images.com/img/tst063.jpg;;Утепленные, унисекс.
TST064;Краски акриловые (набор);Творчество;1100.00;http://test-images.com/img/tst064.jpg;;10 туб по 20 мл.
TST065;Сушилка для белья напольная;Дом;1400.00;http://test-images.com/img/tst065.jpg;;Общая длина сушки 20 м.
TST066;Пояс для похудения;Спорт;990.00;http://test-images.com/img/tst066.jpg;;Регулируемый размер.
TST067;Зарядное устройство GaN 65W;Электроника;2800.00;http://test-images.com/img/tst067.jpg;;Компактное, 2 порта.
TST068;Корректор ленточный;Канцтовары;140.00;http://test-images.com/img/tst068.jpg;;Длина ленты 6 м.
TST069;Чехол для гладильной доски;Дом;550.00;http://test-images.com/img/tst069.jpg;;Жаропрочный материал.
TST070;Рис Басмати;Продукты;290.00;http://test-images.com/img/tst070.jpg;;Упаковка 1 кг.
TST071;Геймпад беспроводной;Игры;2190.00;http://test-images.com/img/tst071.jpg;;Для PC и Android.
TST072;Набор столовых приборов;Посуда;2500.00;http://test-images.com/img/tst072.jpg;;На 6 персон, нержавеющая сталь.
TST073;Юбка плиссированная (S);Одежда;1600.00;http://test-images.com/img/tst073.jpg;;Длина миди, размер S.
TST074;Набор для вышивания крестиком;Творчество;890.00;http://test-images.com/img/tst074.jpg;;Схема и мулине в комплекте.
TST075;Кофемашина капельная;Техника;3800.00;http://test-images.com/img/tst075.jpg;;Объем 1.2 литра.
TST076;Мяч для пилатеса;Спорт;750.00;http://test-images.com/img/tst076.jpg;;Диаметр 65 см.
TST077;USB-хаб на 4 порта;Электроника;450.00;http://test-images.com/img/tst077.jpg;;USB 3.0.
TST078;Дырокол металлический;Канцтовары;250.00;http://test-images.com/img/tst078.jpg;;До 20 листов.
TST079;Зеркало настенное круглое;Дом;1990.00;http://test-images.com/img/tst079.jpg;;Диаметр 40 см.
TST080;Специи "Карри" (смесь);Продукты;120.00;http://test-images.com/img/tst080.jpg;;Пакет 50 гр.
TST081;Роутер Wi-Fi двухдиапазонный;Электроника;2990.00;http://test-images.com/img/tst081.jpg;;Скорость до 1200 Мбит/с.
TST082;Набор ножей кухонных;Посуда;1890.00;http://test-images.com/img/tst082.jpg;;5 предметов на подставке.
TST083;Брюки чинос (L);Одежда;2200.00;http://test-images.com/img/tst083.jpg;;Прямой крой, размер L.
TST084;Карандаши цветные (48 шт.);Канцтовары;550.00;http://test-images.com/img/tst084.jpg;;Мягкий грифель, в металлической коробке.
TST085;Пылесос ручной беспроводной;Техника;5900.00;http://test-images.com/img/tst085.jpg;;Для быстрой уборки.
TST086;Велосипедный замок тросовый;Спорт;690.00;http://test-images.com/img/tst086.jpg;;Длина 1 метр.
TST087;Монопод для селфи (Bluetooth);Аксессуары;750.00;http://test-images.com/img/tst087.jpg;;Встроенная кнопка.
TST088;Файл-вкладыш (100 шт.);Канцтовары;190.00;http://test-images.com/img/tst088.jpg;;Плотность 40 мкм.
TST089;Коробка для хранения с крышкой;Дом;450.00;http://test-images.com/img/tst089.jpg;;Объем 15 литров.
TST090;Мед цветочный натуральный;Продукты;390.00;http://test-images.com/img/tst090.jpg;;Банка 500 гр.
TST091;Наушники-вкладыши проводные;Электроника;299.00;http://test-images.com/img/tst091.jpg;;С микрофоном.
TST092;Френч-пресс 600 мл;Посуда;590.00;http://test-images.com/img/tst092.jpg;;Стеклянная колба.
TST093;Кардиган вязаный (M);Одежда;2500.00;http://test-images.com/img/tst093.jpg;;На пуговицах, размер M.
TST094;Альбом для рисования А4;Творчество;150.00;http://test-images.com/img/tst094.jpg;;40 листов, плотная бумага.
TST095;Напольные весы электронные;Дом;999.00;http://test-images.com/img/tst095.jpg;;Стеклянная платформа.
TST096;Набор для плавания (маска, трубка);Спорт;1150.00;http://test-images.com/img/tst096.jpg;;Взрослый размер.
TST097;Коврик для мыши с гелевой подушкой;Аксессуары;350.00;http://test-images.com/img/tst097.jpg;;Эргономичный.
TST098;Маркеры текстовыделители (4 цв.);Канцтовары;180.00;http://test-images.com/img/tst098.jpg;;Скошенный наконечник.
TST099;Светильник ночник проекционный;Дом;1300.00;http://test-images.com/img/tst099.jpg;;Проекция звездного неба.
TST100;Макароны "Феттуччине";Продукты;190.00;http://test-images.com/img/tst100.jpg;;Итальянская паста, 500 гр.
